species_id	sample_id	sra_sr	sra_lr	Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Organism	SRA Accession	GenBank Chromosome Accession	GenBank Plasmid Accession	Molecule Length	Assembly Method
ecol	SAMN34360984	SRR24308068	SRR24308005	GCA_029990375.1	ASM2999037v1	Escherichia coli		AVS0151					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5423507	2	Complete Genome	2023-05-12		5273087	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34360984	5425	Escherichia coli	SRS17434203; ILLUMINA:SRR24308068; OXFORD_NANOPORE:SRR24308005	CP124372.1	CP124373.1	CP124373.1:150420; CP124372.1:5273087	Unicycler v. 0.5.0
ecol	SAMN17214837	SRR13358231	SRR13358236	GCA_017639185.1	ASM1763918v1	Escherichia coli		ABW_A19					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5598951	4	Complete Genome	2021-03-30		5250599	4							Illumina MiniSeq, Oxford Nanopore MinIon	University of Zurich	PRJNA689691	SAMN17214837	5346	Escherichia coli	SRS7969843; OXFORD_NANOPORE:SRR13358236; ILLUMINA:SRR13358231	CP067307.1	CP067310.1; CP067309.1; CP067308.1	CP067310.1:53474; CP067309.1:68410; CP067308.1:226468; CP067307.1:5250599	Unicycler v. 0.4.8
ecol	SAMN25236411	SRR17731597	SRR17772292	GCA_022494685.1	ASM2249468v1	Escherichia coli		KOr019					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5450486	7	Complete Genome	2022-03-07		5218913	7							Illumina NovaSeq; Oxford Nanopore MinION	Kyoto University	PRJNA800231	SAMN25236411	5250	Escherichia coli	SRS11758161; ILLUMINA:SRR17731597; OXFORD_NANOPORE:SRR17772292	CP091665.1	CP091671.1; CP091670.1; CP091669.1; CP091668.1; CP091667.1; CP091666.1	CP091671.1:1546; CP091670.1:3133; CP091669.1:4315; CP091668.1:4677; CP091667.1:59054; CP091666.1:158848; CP091665.1:5218913	Unicycler v. 0.4.8
ecol	SAMN35706290	SRR25500368	SRR25500367	GCA_030344975.1	ASM3034497v1	Escherichia coli		T309.Ta3					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5447838	5	Complete Genome	2023-06-26		5191980	5							Illumina NovaSeq; Illumina MiSeq; Oxford Nanopore MinION	The Independent Schools Foundation Academy	PRJNA982422	SAMN35706290	5377	Escherichia coli	SRS18486608; ILLUMINA:SRR25500368; OXFORD_NANOPORE:SRR25500367	CP128255.1	CP128259.1; CP128258.1; CP128257.1; CP128256.1	CP128259.1:4082; CP128258.1:52047; CP128257.1:85979; CP128256.1:113750; CP128255.1:5191980	Unicycler v. v0.4.8-beta
ecol	SAMN22251350	SRR18439255	SRR18439256	GCA_020540985.1	ASM2054098v1	Escherichia coli		P31_YH1_02.21					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5484552	6	Complete Genome	2021-10-21		5190359	6							Oxford Nanopore MinION; Illumina	United Kingdom Health Security Agency	PRJNA770738	SAMN22251350	5336	Escherichia coli	SRS12349358; OXFORD_NANOPORE:SRR18439256; ILLUMINA:SRR18439255	CP085063.1	CP085068.1; CP085067.1; CP085066.1; CP085065.1; CP085064.1	CP085068.1:1553; CP085067.1:2101; CP085066.1:62390; CP085065.1:94191; CP085064.1:133958; CP085063.1:5190359	Unicycler v. 0.4.9
ecol	SAMN34360985	SRR24308067	SRR24308004	GCA_029990355.1	ASM2999035v1	Escherichia coli		AVS0465					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5291752	5	Complete Genome	2023-05-12		5174834	5							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34360985	5222	Escherichia coli	SRS17434205; ILLUMINA:SRR24308067; OXFORD_NANOPORE:SRR24308004	CP124367.1	CP124371.1; CP124370.1; CP124369.1; CP124368.1	CP124371.1:4082; CP124370.1:4593; CP124369.1:5167; CP124368.1:103076; CP124367.1:5174834	Unicycler v. 0.5.0
ecol	SAMN16279676	SRR21620895	SRR21620894	GCA_014854575.1	ASM1485457v1	Escherichia coli		C311					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5358674	3	Complete Genome	2020-10-06		5165639	3							Illumina MiSeq; Oxford Nanopore MinION	The Independent Schools Foundation Academy	PRJNA666127	SAMN16279676	5239	Escherichia coli	SRS15157300; ILLUMINA:SRR21620895; OXFORD_NANOPORE:SRR21620894	CP062204.1	CP062206.1; CP062205.1	CP062206.1:48103; CP062205.1:144932; CP062204.1:5165639	Unicycler v. Jan-2020
ecol	SAMN34360967	SRR24308087	SRR24308024	GCA_030037975.1	ASM3003797v1	Escherichia coli		AVS0193					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5320554	5	Complete Genome	2023-05-12		5163545	5							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34360967	5270	Escherichia coli	SRS17434188; ILLUMINA:SRR24308087; OXFORD_NANOPORE:SRR24308024	CP124455.1	CP124459.1; CP124458.1; CP124457.1; CP124456.1	CP124459.1:1306; CP124458.1:4087; CP124457.1:5167; CP124456.1:146449; CP124455.1:5163545	Unicycler v. 0.5.0
ecol	SAMN34360983	SRR24308069	SRR24308006	GCA_029990415.1	ASM2999041v1	Escherichia coli		AVS0578					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5447122	11	Complete Genome	2023-05-12		5151251	11							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34360983	5430	Escherichia coli	SRS17434204; ILLUMINA:SRR24308069; OXFORD_NANOPORE:SRR24308006	CP124374.1	CP124384.1; CP124383.1; CP124382.1; CP124381.1; CP124380.1; CP124379.1; CP124378.1; CP124377.1; CP124376.1; CP124375.1	CP124384.1:1822; CP124383.1:2101; CP124382.1:4064; CP124381.1:4072; CP124380.1:5164; CP124379.1:5630; CP124378.1:5716; CP124377.1:72619; CP124376.1:94894; CP124375.1:99789; CP124374.1:5151251	Unicycler v. 0.5.0
ecol	SAMN34360970	SRR24308083	SRR24308021	GCA_030038665.1	ASM3003866v1	Escherichia coli		AVS0790					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5239732	6	Complete Genome	2023-05-12		5141728	6							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34360970	5202	Escherichia coli	SRS17434190; ILLUMINA:SRR24308083; OXFORD_NANOPORE:SRR24308021	CP124436.1	CP124441.1; CP124440.1; CP124439.1; CP124438.1; CP124437.1	CP124441.1:1549; CP124440.1:4064; CP124439.1:4245; CP124438.1:5167; CP124437.1:82979; CP124436.1:5141728	Unicycler v. 0.5.0
ecol	SAMN34360963	SRR24308091	SRR24308028	GCA_030037255.1	ASM3003725v1	Escherichia coli		AVS0969					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5428737	6	Complete Genome	2023-05-12		5132631	6							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34360963	5429	Escherichia coli	SRS17434181; ILLUMINA:SRR24308091; OXFORD_NANOPORE:SRR24308028	CP124475.1	CP124480.1; CP124479.1; CP124478.1; CP124477.1; CP124476.1	CP124480.1:1687; CP124479.1:4072; CP124478.1:73258; CP124477.1:86720; CP124476.1:130369; CP124475.1:5132631	Unicycler v. 0.5.0
ecol	SAMN34360969	SRR24308084	SRR24308022	GCA_030038515.1	ASM3003851v1	Escherichia coli		AVS0196					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5227310	6	Complete Genome	2023-05-12		5129351	6							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34360969	5195	Escherichia coli	SRS17434185; ILLUMINA:SRR24308084; OXFORD_NANOPORE:SRR24308022	CP124442.1	CP124447.1; CP124446.1; CP124445.1; CP124444.1; CP124443.1	CP124447.1:1549; CP124446.1:4064; CP124445.1:4245; CP124444.1:5167; CP124443.1:82934; CP124442.1:5129351	Unicycler v. 0.5.0
ecol	SAMN34360951	SRR24308085	SRR24308042	GCA_030036695.1	ASM3003669v1	Escherichia coli		AVS0501					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5248053	2	Complete Genome	2023-05-12		5128108	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34360951	5140	Escherichia coli	SRS17434186; ILLUMINA:SRR24308085; OXFORD_NANOPORE:SRR24308042	CP124511.1	CP124512.1	CP124512.1:119945; CP124511.1:5128108	Unicycler v. 0.5.0
ecol	SAMN25236402	SRR17731590	SRR17772285	GCA_022494825.1	ASM2249482v1	Escherichia coli		KGu016					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5369757	8	Complete Genome	2022-03-07		5126687	8							Illumina NovaSeq; Oxford Nanopore MinION	Kyoto University	PRJNA800231	SAMN25236402	5227	Escherichia coli	SRS11758167; ILLUMINA:SRR17731590; OXFORD_NANOPORE:SRR17772285	CP091704.1	CP091711.1; CP091710.1; CP091709.1; CP091708.1; CP091707.1; CP091706.1; CP091705.1	CP091711.1:2089; CP091710.1:3009; CP091709.1:4072; CP091708.1:5167; CP091707.1:58398; CP091706.1:69395; CP091705.1:100940; CP091704.1:5126687	Unicycler v. 0.4.8
ecol	SAMN17815181	SRR13643257	SRR21547803	GCA_025398375.1	ASM2539837v1	Escherichia coli		2021CK-00607					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5435037	12	Complete Genome	2022-09-25		5123200	12							Illumina MiSeq; Oxford Nanopore GridION	Utah Public Health Laboratory Infectious Disease submission group	PRJNA812595	SAMN17815181	5306	Escherichia coli	SRS8206010; ILLUMINA:SRR13643257; OXFORD_NANOPORE:SRR21547803	CP104665.1	CP104676.1; CP104675.1; CP104674.1; CP104673.1; CP104672.1; CP104671.1; CP104670.1; CP104669.1; CP104668.1; CP104667.1; CP104666.1	CP104676.1:234; CP104675.1:1029; CP104674.1:1123; CP104673.1:3257; CP104672.1:4074; CP104671.1:4362; CP104670.1:5168; CP104669.1:10122; CP104668.1:58872; CP104667.1:91750; CP104666.1:131846; CP104665.1:5123200	Unicycler v. 0.5.0
ecol	SAMN34375059	SRR24308051	SRR24308101	GCA_029991165.1	ASM2999116v1	Escherichia coli		AVS0786					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5243649	3	Complete Genome	2023-05-12		5119625	3							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34375059	5117	Escherichia coli	SRS17434170; OXFORD_NANOPORE:SRR24308101; ILLUMINA:SRR24308051	CP124334.1	CP124336.1; CP124335.1	CP124336.1:4073; CP124335.1:119951; CP124334.1:5119625	Unicycler v. 0.5.0
ecol	SAMN33748626	SRR24322337	SRR24322336	GCA_029536675.1	ASM2953667v1	Escherichia coli		B771					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5341634	6	Complete Genome	2023-04-02		5103692	6							Illumina; Oxford Nanopore MinION	Masaryk University	PRJNA944444	SAMN33748626	5247	Escherichia coli	SRS17446542; ILLUMINA:SRR24322337; OXFORD_NANOPORE:SRR24322336; CAPILLARY:SRR24769899	CP120557.1	CP120562.1; CP120561.1; CP120560.1; CP120559.1; CP120558.1	CP120562.1:2310; CP120561.1:2328; CP120560.1:9494; CP120559.1:95480; CP120558.1:128330; CP120557.1:5103692	Unicycler v. v0.4.8
ecol	SAMN33712750	SRR23800502	SRR23800501	GCA_029537195.1	ASM2953719v1	Escherichia coli		USVAST219					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5212300	2	Complete Genome	2023-04-02		5098635	2							Oxford Nanopore MinION; Illumina HiSeq	University of Birmingham	PRJNA943186	SAMN33712750	5117	Escherichia coli	SRS17002126; ILLUMINA:SRR23800502; OXFORD_NANOPORE:SRR23800501	CP120633.1	CP120634.1	CP120634.1:113665; CP120633.1:5098635	Unicycler v. 0.4.8
ecol	SAMN34360979	SRR24308073	SRR24308011	GCA_029990605.1	ASM2999060v1	Escherichia coli		AVS0967					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5181707	2	Complete Genome	2023-05-12		5097505	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34360979	5057	Escherichia coli	SRS17434199; ILLUMINA:SRR24308073; OXFORD_NANOPORE:SRR24308011	CP124398.1	CP124399.1	CP124399.1:84202; CP124398.1:5097505	Unicycler v. 0.5.0
ecol	SAMN29499321	SRR19977229	SRR19977213	GCA_024224055.1	ASM2422405v1	Escherichia coli		LH85-a					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5335673	8	Complete Genome	2022-07-13		5095622	8							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA855630	SAMN29499321	5153	Escherichia coli	SRS13699812; ILLUMINA:SRR19977229; OXFORD_NANOPORE:SRR19977213	CP100486.1	CP100493.1; CP100492.1; CP100491.1; CP100490.1; CP100489.1; CP100488.1; CP100487.1	CP100493.1:1506; CP100492.1:1549; CP100491.1:2096; CP100490.1:5328; CP100489.1:46338; CP100488.1:87908; CP100487.1:95326; CP100486.1:5095622	Unicycler v. 0.5.0
ecol	SAMN34375055	SRR24308056	SRR24308105	GCA_029991025.1	ASM2999102v1	Escherichia coli		AVS0533					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5237271	2	Complete Genome	2023-05-12		5090642	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34375055	5112	Escherichia coli	SRS17434168; OXFORD_NANOPORE:SRR24308105; ILLUMINA:SRR24308056	CP124343.1	CP124344.1	CP124344.1:146629; CP124343.1:5090642	Unicycler v. 0.5.0
ecol	SAMN34375054	SRR24308057	SRR24308106	GCA_029989065.1	ASM2998906v1	Escherichia coli		AVS0530					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5237008	2	Complete Genome	2023-05-12		5090382	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34375054	5109	Escherichia coli	SRS17434166; OXFORD_NANOPORE:SRR24308106; ILLUMINA:SRR24308057	CP124345.1	CP124346.1	CP124346.1:146626; CP124345.1:5090382	Unicycler v. 0.5.0
ecol	SAMN34375057	SRR24308054	SRR24308103	GCA_029991095.1	ASM2999109v1	Escherichia coli		AVS0713					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5236773	2	Complete Genome	2023-05-12		5090137	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34375057	5109	Escherichia coli	SRS17434169; OXFORD_NANOPORE:SRR24308103; ILLUMINA:SRR24308054	CP124339.1	CP124340.1	CP124340.1:146636; CP124339.1:5090137	Unicycler v. 0.5.0
ecol	SAMN34375063	SRR24308047	SRR24308096	GCA_029987755.1	ASM2998775v1	Escherichia coli		AVS0536					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5236639	2	Complete Genome	2023-05-12		5089992	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34375063	5108	Escherichia coli	SRS17434177; OXFORD_NANOPORE:SRR24308096; ILLUMINA:SRR24308047	CP124324.1	CP124325.1	CP124325.1:146647; CP124324.1:5089992	Unicycler v. 0.5.0
ecol	SAMN34375047	SRR24308065	SRR24308002	GCA_029990275.1	ASM2999027v1	Escherichia coli		AVS0093					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5238343	3	Complete Genome	2023-05-12		5088976	3							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34375047	5113	Escherichia coli	SRS17434206; ILLUMINA:SRR24308065; OXFORD_NANOPORE:SRR24308002	CP124359.1	CP124361.1; CP124360.1	CP124361.1:3004; CP124360.1:146363; CP124359.1:5088976	Unicycler v. 0.5.0
ecol	SAMN34375053	SRR24308058	SRR24308107	GCA_029989245.1	ASM2998924v1	Escherichia coli		AVS0283					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5235587	2	Complete Genome	2023-05-12		5088970	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34375053	5113	Escherichia coli	SRS17434165; OXFORD_NANOPORE:SRR24308107; ILLUMINA:SRR24308058	CP124347.1	CP124348.1	CP124348.1:146617; CP124347.1:5088970	Unicycler v. 0.5.0
ecol	SAMN34375064	SRR24308046	SRR24308095	GCA_029987615.1	ASM2998761v1	Escherichia coli		AVS0717					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5235596	2	Complete Genome	2023-05-12		5088968	2							Illumina MiniSeq, Oxford Nanopore	University of Zurich	PRJNA961666	SAMN34375064	5111	Escherichia coli	SRS17434176; OXFORD_NANOPORE:SRR24308095; ILLUMINA:SRR24308046	CP124322.1	CP124323.1	CP124323.1:146628; CP124322.1:5088968	Unicycler v. 0.5.0
