species_id	sample_id	long_reads	short_reads	long_read_type	Isolate	Assembly Accession	Animal or WwTW	Isolate source information	Timepoint	Niche	Niche.2	Location	Genus	Species	ST assignment	Circularised plasmids	Number of contigs	Circularised chromosome (1=yes)	Total genome size (bp)	Chromosome GC (if known)	Phylogroup (E. coli only)	Alternative isolate name
ecol	SAMN15148314	SRR12298635	SRR11948754	Nanopore	RH13|T3-C06	GCA_014042155.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH13	Escherichia	Escherichia coli	3494	3	9	0	4983674	NA	B1	RHB32-C06
cxxx	SAMN15148660	SRR12298706	SRR11949235	Nanopore	WTP3|T2-00599	GCA_013784065.1	WTP	Freshwater sample from upstream of wastewater treatment work	2	WTP3	Upstream	WTP3	Citrobacter	Citrobacter sp.	88	1	2	1	5238808	52	NA	RHBSTW-00599
cxxx	SAMN15148731	SRR12299129	SRR11948723	Nanopore	WTP1|T3-00887	GCA_013728095.1	WTP	Freshwater sample from downstream of wastewater treatment work	3	WTP1	Downstream	WTP1	Citrobacter	Citrobacter sp.	NA	1	2	1	5625488	51.8	NA	RHBSTW-00887
ecol	SAMN15148426	SRR12298541	SRR11949160	Nanopore	RH01|T3-C14	GCA_013802065.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH01	Escherichia	Escherichia coli	6438	10	11	1	5206908	50.6	A	RHB41-C14
koxy	SAMN15148636	SRR12298734	SRR11948701	Nanopore	WTP5|T2-00493	GCA_013784845.1	WTP	Freshwater sample from downstream of wastewater treatment work	2	WTP5	Downstream	WTP5	Klebsiella	Klebsiella oxytoca	41	1	2	1	6384090	55.9	NA	RHBSTW-00493
koxy	SAMN15148604	SRR12298820	SRR11948672	Nanopore	WTP4|T2-00409	GCA_013610655.1	WTP	Freshwater sample from upstream of wastewater treatment work	2	WTP4	Upstream	WTP4	Klebsiella	Klebsiella oxytoca	95	3	5	1	6603523	55.5	NA	RHBSTW-00409
ecol	SAMN15148627	SRR12298770	SRR11948710	Nanopore	WTP5|T2-00475	GCA_014103455.1	WTP	Freshwater sample from upstream of wastewater treatment work	2	WTP5	Upstream	WTP5	Escherichia	Escherichia coli	NA	2	10	0	5180536	NA	B1	RHBSTW-00475
cfre	SAMN15148618	SRR12298780	SRR11949250	Nanopore	WTP5|T2-00449	GCA_013748855.1	WTP	Wastewater influent sample	2	WTP5	Influent	WTP5	Citrobacter	Citrobacter freundii	519	2	3	1	5351505	52	NA	RHBSTW-00449
ecol	SAMN15148076	SRR12299016	SRR11948864	Nanopore	RH10|T1-C24	GCA_013899525.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH10	Escherichia	Escherichia coli	7297	0	1	1	4843889	50.6	E	RHB11-C24
cfre	SAMN15148768	SRR12298991	SRR11949445	Nanopore	WTP3|T3-01016	GCA_013781965.1	WTP	Wastewater effluent sample	3	WTP3	Effluent	WTP3	Citrobacter	Citrobacter freundii	NA	3	4	1	5284993	51.7	NA	RHBSTW-01016
ecol	SAMN15148419	SRR12298548	SRR11948953	Nanopore	RH08|T3-C22	GCA_013803545.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH08	Escherichia	Escherichia coli	10	1	2	1	5171539	50.7	A	RHB40-C22
koxy	SAMN15148597	SRR12298827	SRR11948679	Nanopore	WTP4|T2-00373	GCA_013750595.1	WTP	Wastewater influent sample	2	WTP4	Influent	WTP4	Klebsiella	Klebsiella oxytoca	37	1	2	1	6293551	55.1	NA	RHBSTW-00373
ecol	SAMN15148079	SRR12299012	SRR11948860	Nanopore	RH09|T1-C04	GCA_013899445.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH09	Escherichia	Escherichia coli	1508	3	4	1	4958363	50.5	E	RHB12-C04
ecol	SAMN15148482	SRR12298430	SRR11949305	Nanopore	WTP5|T1-00093	GCA_013927325.1	WTP	Wastewater effluent sample	1	WTP5	Effluent	WTP5	Escherichia	Escherichia coli	399	6	7	0	5372808	NA	A	RHBSTW-00093
ecol	SAMN15148720	SRR12299141	SRR11949265	Nanopore	WTP5|T3-00860	GCA_013729535.1	WTP	Wastewater effluent sample	3	WTP5	Effluent	WTP5	Escherichia	Escherichia coli	5667	1	2	1	5365305	50.7	B2	RHBSTW-00860
ecol	SAMN15148341	SRR12299154	SRR11948938	Nanopore	RH03|T3-C12	GCA_013818475.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH03	Escherichia	Escherichia coli	10	1	2	1	4768475	50.7	A	RHB34-C12
cxxx	SAMN15148456	SRR12298483	SRR11949318	PacBio	WTP4|T1-00021	GCA_013797345.1	WTP	Wastewater effluent sample	1	WTP4	Effluent	WTP4	Citrobacter	Citrobacter sp.	NA	2	3	1	5112680	52.1	NA	RHBSTW-00021
eclo	SAMN15148444	SRR12298497	SRR11949022	PacBio	WTP4|T1-00002	GCA_013635755.1	WTP	Wastewater influent sample	1	WTP4	Influent	WTP4	Enterobacter	Enterobacter cloacae	NA	10	11	1	4807289	56.1	NA	RHBSTW-00002
kpne	SAMN15148407	SRR12298927	SRR11948966	Nanopore	RH09|T3-C24	GCA_013805705.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH09	Klebsiella	Klebsiella pneumoniae	2426	3	4	1	5501752	57.5	NA	RHB39-C24
cfre	SAMN15148632	SRR12298738	SRR11948705	Nanopore	WTP5|T2-00488	GCA_013705425.1	WTP	Freshwater sample from downstream of wastewater treatment work	2	WTP5	Downstream	WTP5	Citrobacter	Citrobacter freundii	NA	5	17	1	5415363	52.6	NA	RHBSTW-00488
ecol	SAMN15148351	SRR12299118	SRR11949386	Nanopore	RH06|T3-C12	GCA_014104725.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH06	Escherichia	Escherichia coli	58	1	11	0	5325945	NA	B1	RHB35-C12
cfre	SAMN15148590	SRR12298835	SRR11949137	PacBio	WTP2|T1-00355	GCA_013738135.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP2	Downstream	WTP2	Citrobacter	Citrobacter freundii	NA	5	6	1	5589608	52.4	NA	RHBSTW-00355
kpne	SAMN15148656	SRR12298711	SRR11949240	Nanopore	WTP1|T2-00574	GCA_013704985.1	WTP	Freshwater sample from downstream of wastewater treatment work	2	WTP1	Downstream	WTP1	Klebsiella	Klebsiella pneumoniae	359	5	7	1	5593785	57.3	NA	RHBSTW-00574
eclo	SAMN15148488	SRR12298423	SRR11949298	Nanopore	WTP5|T1-00105	GCA_013625265.1	WTP	Freshwater sample from downstream of wastewater treatment work	1	WTP5	Downstream	WTP5	Enterobacter	Enterobacter cloacae	108	3	4	1	4915705	55.5	NA	RHBSTW-00105
eclo	SAMN15148465	SRR12298449	SRR11948794	PacBio	WTP4|T1-00059	GCA_013629235.1	WTP	Wastewater effluent sample	1	WTP4	Effluent	WTP4	Enterobacter	Enterobacter cloacae	145	4	5	1	4916079	54.9	NA	RHBSTW-00059
ecol	SAMN15148228	SRR12298853	SRR11948769	Nanopore	RH15|T2-C11	GCA_013837545.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH15	Escherichia	Escherichia coli	1308	1	2	1	5164879	50.8	B1	RHB24-C11
ecol	SAMN15148368	SRR12299099	SRR11949367	Nanopore	RH07|T3-C16	GCA_013814665.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH07	Escherichia	Escherichia coli	155	2	3	1	5042530	50.8	B1	RHB36-C16
ecol	SAMN15148409	SRR12298925	SRR11948964	Nanopore	RH08|T3-C03	GCA_013805085.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH08	Escherichia	Escherichia coli	154	2	3	1	5034541	50.7	B1	RHB40-C03
ecol	SAMN15148714	SRR12299172	SRR11949272	Nanopore	WTP5|T3-00849	GCA_013730915.1	WTP	Wastewater influent sample	3	WTP5	Influent	WTP5	Escherichia	Escherichia coli	491	1	2	1	4922987	50.7	B2	RHBSTW-00849
efer	SAMN15148386	SRR12299032	SRR11948824	Nanopore	RH04|T3-C07	GCA_013813205.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH04	Escherichia	Escherichia fergusonii	NA	5	6	1	4856194	49.8	fergusonii	RHB38-C07
ecol	SAMN15148229	SRR12298852	SRR11948768	Nanopore	RH15|T2-C12	GCA_013636235.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH15	Escherichia	Escherichia coli	5540	2	3	1	4981845	50.6	cladeV	RHB24-C12
ecol	SAMN15148105	SRR12298960	SRR11948666	PacBio	RH03|T1-C05	GCA_014105555.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH03	Escherichia	Escherichia coli	23	2	27	0	4982091	NA	C	RHB13-C05
koxy	SAMN15148723	SRR12299138	SRR11949262	Nanopore	WTP5|T3-00866	GCA_013606065.1	WTP	Wastewater effluent sample	3	WTP5	Effluent	WTP5	Klebsiella	Klebsiella oxytoca	225	4	6	1	6778239	55.6	NA	RHBSTW-00866
ecol	SAMN15148009	SRR12298885	SRR11948697	PacBio	RH14|T1-C04	GCA_013921705.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH14	Escherichia	Escherichia coli	6106	0	1	1	5303390	50.5	D	RHB06-C04
ecol	SAMN15148740	SRR12299071	SRR11949355	Nanopore	WTP1|T3-00906	GCA_013726815.1	WTP	Wastewater influent sample	3	WTP1	Influent	WTP1	Escherichia	Escherichia coli	1858	0	1	1	4885933	50.5	B2	RHBSTW-00906
ecol	SAMN15148350	SRR12299119	SRR11949387	Nanopore	RH06|T3-C09	GCA_013817105.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH06	Escherichia	Escherichia coli	730	5	6	1	5406369	50.6	A	RHB35-C09
kpne	SAMN15148140	SRR12298570	SRR11949333	Nanopore	RH02|T2-C24	GCA_013895695.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH02	Klebsiella	Klebsiella pneumoniae	3153	2	3	1	5330905	57.7	NA	RHB16-C24
cfre	SAMN15148744	SRR12299067	SRR11949351	Nanopore	WTP1|T3-00923	GCA_013726215.1	WTP	Freshwater sample from upstream of wastewater treatment work	3	WTP1	Upstream	WTP1	Citrobacter	Citrobacter freundii	NA	0	1	1	4818023	52.5	NA	RHBSTW-00923
ecol	SAMN15148570	SRR12298881	SRR11948693	PacBio	WTP2|T1-00313	GCA_013752295.1	WTP	Wastewater influent sample	1	WTP2	Influent	WTP2	Escherichia	Escherichia coli	88	1	2	1	4880263	50.8	C	RHBSTW-00313
cfre	SAMN15148132	SRR12298579	SRR11949066	Nanopore	RH02|T2-C05	GCA_014105375.1	Animal	Pooled pig faecal samples collected from floor of farm	2	Pig	Faeces	RH02	Citrobacter	Citrobacter freundii	NA	2	9	0	5126200	NA	NA	RHB16-C05
efer	SAMN15148326	SRR12298622	SRR11949191	Nanopore	RH14|T3-C07	GCA_013819085.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH14	Escherichia	Escherichia fergusonii	NA	4	5	1	5004548	50	fergusonii	RHB33-C07
ecol	SAMN15148091	SRR12298975	SRR11949111	Nanopore	RH03|T1-C03	GCA_013899145.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH03	Escherichia	Escherichia coli	442	5	6	1	5190393	50.8	B1	RHB13-C03
koxy	SAMN15148716	SRR12299170	SRR11949270	Nanopore	WTP5|T3-00853	GCA_013730235.1	WTP	Wastewater influent sample	3	WTP5	Influent	WTP5	Klebsiella	Klebsiella oxytoca	NA	4	5	1	6253349	55.7	NA	RHBSTW-00853
ecol	SAMN15148037	SRR12298976	SRR11949430	Nanopore	RH06|T1-C16	GCA_013900085.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH06	Escherichia	Escherichia coli	3042	1	2	1	5341588	50.3	cladeI	RHB08-C16
ecol	SAMN15148446	SRR12298495	SRR11949020	Nanopore	WTP4|T1-00005	GCA_014104395.1	WTP	Wastewater influent sample	1	WTP4	Influent	WTP4	Escherichia	Escherichia coli	131	1	8	0	4968275	NA	B2	RHBSTW-00005
cfre	SAMN15148600	SRR12298824	SRR11948676	Nanopore	WTP4|T2-00398	GCA_013612875.1	WTP	Wastewater effluent sample	2	WTP4	Effluent	WTP4	Citrobacter	Citrobacter freundii	NA	3	5	1	5504329	52.5	NA	RHBSTW-00398
ecol	SAMN15148282	SRR12298742	SRR11949041	Nanopore	RH11|T3-C16	GCA_013827445.1	Animal	Pooled sheep faecal samples collected from floor of farm	3	Sheep	Faeces	RH11	Escherichia	Escherichia coli	1086	1	2	1	5244478	50.6	B1	RHB29-C16
ecol	SAMN15148576	SRR12298875	SRR11948687	Nanopore	WTP2|T1-00321	GCA_013752075.1	WTP	Wastewater influent sample	1	WTP2	Influent	WTP2	Escherichia	Escherichia coli	4213	3	4	1	5430154	50.8	B1	RHBSTW-00321
ecol	SAMN15148342	SRR12299153	SRR11948937	Nanopore	RH03|T3-C14	GCA_013818265.1	Animal	Pooled pig faecal samples collected from floor of farm	3	Pig	Faeces	RH03	Escherichia	Escherichia coli	10	1	2	1	4738869	50.7	A	RHB34-C14
ecol	SAMN15148112	SRR12298952	SRR11948658	PacBio	RH04|T1-C16	GCA_013898975.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH04	Escherichia	Escherichia coli	NA	3	4	1	4691254	50.7	cladeIII	RHB14-C16
ecol	SAMN15148710	SRR12299176	SRR11949276	Nanopore	WTP5|T3-00839	GCA_013731515.1	WTP	Wastewater influent sample	3	WTP5	Influent	WTP5	Escherichia	Escherichia coli	131	2	3	1	5344265	50.8	B2	RHBSTW-00839
ecol	SAMN15148400	SRR12298935	SRR11948738	Nanopore	RH09|T3-C14	GCA_013811655.1	Animal	Pooled cattle faecal samples collected from floor of farm	3	Cattle	Faeces	RH09	Escherichia	Escherichia coli	3476	3	4	1	5265552	50.7	A	RHB39-C14
efer	SAMN15148209	SRR12298898	SRR11949224	Nanopore	RH12|T2-C02	GCA_013886195.1	Animal	Pooled sheep faecal samples collected from floor of farm	2	Sheep	Faeces	RH12	Escherichia	Escherichia fergusonii	NA	3	4	1	4814303	49.9	fergusonii	RHB23-C02
ecol	SAMN15148101	SRR12298964	SRR11949100	PacBio	RH03|T1-C21	GCA_013710775.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH03	Escherichia	Escherichia coli	4175	3	7	1	4985281	50.5	E	RHB13-C21
ecol	SAMN15148696	SRR12298667	SRR11948880	Nanopore	WTP4|T3-00781	GCA_014103255.1	WTP	Freshwater sample from upstream of wastewater treatment work	3	WTP4	Upstream	WTP4	Escherichia	Escherichia coli	73	0	150	0	5109850	NA	B2	RHBSTW-00781
ecol	SAMN15148585	SRR12298865	SRR11949143	PacBio	WTP2|T1-00343	GCA_013785825.1	WTP	Freshwater sample from upstream of wastewater treatment work	1	WTP2	Upstream	WTP2	Escherichia	Escherichia coli	155	0	1	1	5131043	50.7	B1	RHBSTW-00343
ecol	SAMN15148083	SRR12299008	SRR11948856	PacBio	RH09|T1-C14	GCA_014105675.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH09	Escherichia	Escherichia coli	5971	3	12	0	5283450	NA	Unknown	RHB12-C14
koxy	SAMN15148681	SRR12298683	SRR11948634	Nanopore	WTP2|T2-00676	GCA_013926025.1	WTP	Wastewater influent sample	2	WTP2	Influent	WTP2	Klebsiella	Klebsiella oxytoca	NA	5	6	0	6195679	NA	NA	RHBSTW-00676
ecol	SAMN15148697	SRR12298617	SRR11948878	Nanopore	WTP4|T3-00786	GCA_014103215.1	WTP	Freshwater sample from upstream of wastewater treatment work	3	WTP4	Upstream	WTP4	Escherichia	Escherichia coli	10	2	61	0	4871252	NA	A	RHBSTW-00786
cfre	SAMN15148707	SRR12299179	SRR11948867	Nanopore	WTP5|T3-00830	GCA_013731955.1	WTP	Freshwater sample from downstream of wastewater treatment work	3	WTP5	Downstream	WTP5	Citrobacter	Citrobacter freundii	216	0	1	1	4983531	51.8	NA	RHBSTW-00830
ecol	SAMN15148046	SRR12298943	SRR11949421	PacBio	RH08|T1-C14	GCA_014105785.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH08	Escherichia	Escherichia coli	58	3	15	0	5203920	NA	B1	RHB09-C14
ecol	SAMN15148695	SRR12298668	SRR11949447	Nanopore	WTP4|T3-00780	GCA_014103295.1	WTP	Freshwater sample from upstream of wastewater treatment work	3	WTP4	Upstream	WTP4	Escherichia	Escherichia coli	131	0	179	0	4993786	NA	B2	RHBSTW-00780
efer	SAMN15148237	SRR12298843	SRR11949417	Nanopore	RH08|T2-C10	GCA_013836325.1	Animal	Pooled cattle faecal samples collected from floor of farm	2	Cattle	Faeces	RH08	Escherichia	Escherichia fergusonii	5408	1	2	1	4573840	50	fergusonii	RHB25-C10
exxx	SAMN15148763	SRR12298997	SRR11949003	Nanopore	WTP3|T3-00994	GCA_013782625.1	WTP	Freshwater sample from downstream of wastewater treatment work	3	WTP3	Downstream	WTP3	Enterobacter	Enterobacter sp.	NA	0	1	1	4888717	51.9	NA	RHBSTW-00994
ecol	SAMN15148596	SRR12298829	SRR11948681	Nanopore	WTP4|T2-00372	GCA_013750815.1	WTP	Wastewater influent sample	2	WTP4	Influent	WTP4	Escherichia	Escherichia coli	404	3	4	1	5438683	50.7	B2	RHBSTW-00372
ecol	SAMN15148689	SRR12298674	SRR11949453	Nanopore	WTP4|T3-00730	GCA_014103395.1	WTP	Freshwater sample from downstream of wastewater treatment work	3	WTP4	Downstream	WTP4	Escherichia	Escherichia coli	69	1	96	0	5023496	NA	D	RHBSTW-00730
ecol	SAMN15147990	SRR12299042	SRR11949358	PacBio	RH13|T1-C13	GCA_014108925.1	Animal	Pooled sheep faecal samples collected from floor of farm	1	Sheep	Faeces	RH13	Escherichia	Escherichia coli	1640	1	2	1	5045033	50.7	E	RHB04-C13
ecol	SAMN15148095	SRR12298971	SRR11949107	PacBio	RH03|T1-C08	GCA_013899165.1	Animal	Pooled pig faecal samples collected from floor of farm	1	Pig	Faeces	RH03	Escherichia	Escherichia coli	1633	1	2	1	4922666	50.6	E	RHB13-C08
ecol	SAMN15148070	SRR12299022	SRR11948988	PacBio	RH10|T1-C12	GCA_014105635.1	Animal	Pooled cattle faecal samples collected from floor of farm	1	Cattle	Faeces	RH10	Escherichia	Escherichia coli	154	1	7	0	5187648	NA	B1	RHB11-C12
cfre	SAMN15148742	SRR12299069	SRR11949353	Nanopore	WTP1|T3-00915	GCA_013726615.1	WTP	Freshwater sample from upstream of wastewater treatment work	3	WTP1	Upstream	WTP1	Citrobacter	Citrobacter freundii	341	2	3	1	5140393	51.8	NA	RHBSTW-00915
